[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  196: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0000, NZW = 503489
  197: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0000, NZW = 502753
  198: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0000, NZW = 502706
  199: F1: 92.64, P: 93.59, R: 91.70, RollIn = 0.0000, NZW = 502565
  200: F1: 92.69, P: 93.66, R: 91.74, RollIn = 0.0000, NZW = 502846
  201: F1: 92.73, P: 93.70, R: 91.79, RollIn = 0.0000, NZW = 501997
  202: F1: 92.74, P: 93.68, R: 91.82, RollIn = 0.0000, NZW = 501400
  203: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0000, NZW = 501222
  204: F1: 92.81, P: 93.75, R: 91.89, RollIn = 0.0000, NZW = 500839
  205: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0000, NZW = 500718
  206: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0000, NZW = 499633
  207: F1: 92.73, P: 93.67, R: 91.82, RollIn = 0.0000, NZW = 499220
  208: F1: 92.72, P: 93.65, R: 91.80, RollIn = 0.0000, NZW = 498709
  209: F1: 92.76, P: 93.68, R: 91.85, RollIn = 0.0000, NZW = 498937
  210: F1: 92.69, P: 93.60, R: 91.80, RollIn = 0.0000, NZW = 498873
  211: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0000, NZW = 497621
  212: F1: 92.70, P: 93.60, R: 91.82, RollIn = 0.0000, NZW = 496935
  213: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0000, NZW = 496390
  214: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 496189
  215: F1: 92.74, P: 93.65, R: 91.85, RollIn = 0.0000, NZW = 496408
  216: F1: 92.72, P: 93.62, R: 91.84, RollIn = 0.0000, NZW = 495055
  217: F1: 92.80, P: 93.73, R: 91.89, RollIn = 0.0000, NZW = 494697
  218: F1: 92.76, P: 93.71, R: 91.82, RollIn = 0.0000, NZW = 494713
  219: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0000, NZW = 494752
  220: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0000, NZW = 494851
  221: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0000, NZW = 493555
  222: F1: 92.67, P: 93.64, R: 91.72, RollIn = 0.0000, NZW = 493418
