[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  120: F1: 92.83, P: 93.74, R: 91.94, RollIn = 0.0021, NZW = 530780
  121: F1: 92.81, P: 93.69, R: 91.96, RollIn = 0.0020, NZW = 530223
  122: F1: 92.86, P: 93.74, R: 91.99, RollIn = 0.0019, NZW = 530225
  123: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0018, NZW = 528665
  124: F1: 92.85, P: 93.77, R: 91.94, RollIn = 0.0017, NZW = 527629
  125: F1: 92.74, P: 93.65, R: 91.85, RollIn = 0.0016, NZW = 526855
  126: F1: 92.76, P: 93.67, R: 91.87, RollIn = 0.0016, NZW = 526294
  127: F1: 92.75, P: 93.64, R: 91.89, RollIn = 0.0015, NZW = 526014
  128: F1: 92.80, P: 93.70, R: 91.92, RollIn = 0.0014, NZW = 524424
  129: F1: 92.79, P: 93.69, R: 91.91, RollIn = 0.0013, NZW = 523843
  130: F1: 92.75, P: 93.64, R: 91.87, RollIn = 0.0013, NZW = 523658
  131: F1: 92.76, P: 93.64, R: 91.91, RollIn = 0.0012, NZW = 523508
  132: F1: 92.74, P: 93.59, R: 91.91, RollIn = 0.0011, NZW = 523569
  133: F1: 92.80, P: 93.66, R: 91.96, RollIn = 0.0011, NZW = 521614
  134: F1: 92.72, P: 93.57, R: 91.89, RollIn = 0.0010, NZW = 521398
  135: F1: 92.75, P: 93.67, R: 91.85, RollIn = 0.0010, NZW = 521212
  136: F1: 92.71, P: 93.59, R: 91.85, RollIn = 0.0009, NZW = 521253
  137: F1: 92.78, P: 93.63, R: 91.96, RollIn = 0.0009, NZW = 520790
  138: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0008, NZW = 519050
  139: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0008, NZW = 519037
  140: F1: 92.69, P: 93.54, R: 91.85, RollIn = 0.0008, NZW = 519312
  141: F1: 92.70, P: 93.56, R: 91.85, RollIn = 0.0007, NZW = 519308
  142: F1: 92.72, P: 93.56, R: 91.91, RollIn = 0.0007, NZW = 518952
  143: F1: 92.74, P: 93.58, R: 91.92, RollIn = 0.0007, NZW = 517581
  144: F1: 92.75, P: 93.59, R: 91.92, RollIn = 0.0006, NZW = 517312
  145: F1: 92.77, P: 93.62, R: 91.94, RollIn = 0.0006, NZW = 517076
  146: F1: 92.76, P: 93.61, R: 91.92, RollIn = 0.0006, NZW = 517116
  147: F1: 92.78, P: 93.64, R: 91.94, RollIn = 0.0005, NZW = 516423
  148: F1: 92.72, P: 93.54, R: 91.91, RollIn = 0.0005, NZW = 515341
  149: F1: 92.71, P: 93.56, R: 91.87, RollIn = 0.0005, NZW = 514959
  150: F1: 92.76, P: 93.62, R: 91.91, RollIn = 0.0005, NZW = 514748
  151: F1: 92.69, P: 93.58, R: 91.80, RollIn = 0.0004, NZW = 514586
  152: F1: 92.62, P: 93.46, R: 91.80, RollIn = 0.0004, NZW = 513364
  153: F1: 92.74, P: 93.58, R: 91.92, RollIn = 0.0004, NZW = 512417
  154: F1: 92.74, P: 93.58, R: 91.92, RollIn = 0.0004, NZW = 512412
  155: F1: 92.74, P: 93.61, R: 91.89, RollIn = 0.0004, NZW = 511980
  156: F1: 92.77, P: 93.64, R: 91.92, RollIn = 0.0003, NZW = 511627
  157: F1: 92.76, P: 93.65, R: 91.89, RollIn = 0.0003, NZW = 510579
  158: F1: 92.80, P: 93.67, R: 91.94, RollIn = 0.0003, NZW = 509596
