[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
  141: F1: 92.15, P: 93.31, R: 91.03, RollIn = 0.0007, NZW = 599487
  142: F1: 92.13, P: 93.29, R: 91.00, RollIn = 0.0007, NZW = 599245
  143: F1: 92.13, P: 93.29, R: 91.00, RollIn = 0.0007, NZW = 598382
  144: F1: 92.13, P: 93.29, R: 91.00, RollIn = 0.0006, NZW = 598809
  145: F1: 92.13, P: 93.29, R: 91.00, RollIn = 0.0006, NZW = 597927
  146: F1: 92.15, P: 93.31, R: 91.03, RollIn = 0.0006, NZW = 597808
  147: F1: 92.15, P: 93.31, R: 91.01, RollIn = 0.0005, NZW = 597713
  148: F1: 92.14, P: 93.30, R: 91.00, RollIn = 0.0005, NZW = 597320
  149: F1: 92.12, P: 93.30, R: 90.96, RollIn = 0.0005, NZW = 597540
  150: F1: 92.13, P: 93.30, R: 90.98, RollIn = 0.0005, NZW = 596432
  151: F1: 92.10, P: 93.28, R: 90.95, RollIn = 0.0004, NZW = 596661
  152: F1: 92.10, P: 93.28, R: 90.95, RollIn = 0.0004, NZW = 596102
  153: F1: 92.13, P: 93.30, R: 90.98, RollIn = 0.0004, NZW = 595670
  154: F1: 92.13, P: 93.30, R: 90.98, RollIn = 0.0004, NZW = 595965
  155: F1: 92.16, P: 93.32, R: 91.03, RollIn = 0.0004, NZW = 594842
  156: F1: 92.16, P: 93.32, R: 91.03, RollIn = 0.0003, NZW = 595034
  157: F1: 92.15, P: 93.31, R: 91.01, RollIn = 0.0003, NZW = 594286
  158: F1: 92.15, P: 93.31, R: 91.03, RollIn = 0.0003, NZW = 594087
  159: F1: 92.15, P: 93.31, R: 91.01, RollIn = 0.0003, NZW = 594523
  160: F1: 92.19, P: 93.36, R: 91.05, RollIn = 0.0003, NZW = 593551
  161: F1: 92.17, P: 93.35, R: 91.01, RollIn = 0.0003, NZW = 593721
  162: F1: 92.15, P: 93.34, R: 91.00, RollIn = 0.0002, NZW = 592785
  163: F1: 92.14, P: 93.32, R: 91.00, RollIn = 0.0002, NZW = 592744
  164: F1: 92.13, P: 93.32, R: 90.98, RollIn = 0.0002, NZW = 592726
  165: F1: 92.15, P: 93.32, R: 91.01, RollIn = 0.0002, NZW = 592064
  166: F1: 92.17, P: 93.34, R: 91.03, RollIn = 0.0002, NZW = 592396
  167: F1: 92.13, P: 93.32, R: 90.98, RollIn = 0.0002, NZW = 591640
  168: F1: 92.16, P: 93.34, R: 91.01, RollIn = 0.0002, NZW = 591539
  169: F1: 92.18, P: 93.36, R: 91.03, RollIn = 0.0002, NZW = 591330
  170: F1: 92.23, P: 93.39, R: 91.10, RollIn = 0.0002, NZW = 590825
  171: F1: 92.20, P: 93.37, R: 91.06, RollIn = 0.0002, NZW = 590907
  172: F1: 92.21, P: 93.39, R: 91.06, RollIn = 0.0001, NZW = 589866
  173: F1: 92.22, P: 93.38, R: 91.10, RollIn = 0.0001, NZW = 589849
  174: F1: 92.19, P: 93.37, R: 91.05, RollIn = 0.0001, NZW = 589365
  175: F1: 92.21, P: 93.37, R: 91.08, RollIn = 0.0001, NZW = 588993
  176: F1: 92.22, P: 93.38, R: 91.10, RollIn = 0.0001, NZW = 589124
  177: F1: 92.27, P: 93.41, R: 91.15, RollIn = 0.0001, NZW = 588051
  178: F1: 92.24, P: 93.39, R: 91.11, RollIn = 0.0001, NZW = 588276
  179: F1: 92.23, P: 93.38, R: 91.11, RollIn = 0.0001, NZW = 587785
  180: F1: 92.23, P: 93.39, R: 91.10, RollIn = 0.0001, NZW = 587648
  181: F1: 92.25, P: 93.41, R: 91.11, RollIn = 0.0001, NZW = 587610
  182: F1: 92.26, P: 93.41, R: 91.13, RollIn = 0.0001, NZW = 586735
  183: F1: 92.30, P: 93.45, R: 91.18, RollIn = 0.0001, NZW = 586781
  184: F1: 92.31, P: 93.45, R: 91.20, RollIn = 0.0001, NZW = 586057
  185: F1: 92.27, P: 93.41, R: 91.16, RollIn = 0.0001, NZW = 585975
  186: F1: 92.30, P: 93.45, R: 91.18, RollIn = 0.0001, NZW = 585767
  187: F1: 92.32, P: 93.46, R: 91.20, RollIn = 0.0001, NZW = 584995
  188: F1: 92.31, P: 93.45, R: 91.20, RollIn = 0.0001, NZW = 585149
  189: F1: 92.30, P: 93.45, R: 91.18, RollIn = 0.0001, NZW = 584379
  190: F1: 92.31, P: 93.45, R: 91.20, RollIn = 0.0001, NZW = 584357
  191: F1: 92.30, P: 93.45, R: 91.18, RollIn = 0.0001, NZW = 583861
  192: F1: 92.28, P: 93.43, R: 91.16, RollIn = 0.0001, NZW = 583320
  193: F1: 92.30, P: 93.45, R: 91.18, RollIn = 0.0001, NZW = 583566
  194: F1: 92.30, P: 93.45, R: 91.18, RollIn = 0.0000, NZW = 582670
  195: F1: 92.30, P: 93.45, R: 91.18, RollIn = 0.0000, NZW = 582741
  196: F1: 92.31, P: 93.45, R: 91.20, RollIn = 0.0000, NZW = 582390
  197: F1: 92.32, P: 93.48, R: 91.20, RollIn = 0.0000, NZW = 582211
  198: F1: 92.33, P: 93.50, R: 91.20, RollIn = 0.0000, NZW = 582402
  199: F1: 92.37, P: 93.52, R: 91.25, RollIn = 0.0000, NZW = 581482
  200: F1: 92.35, P: 93.50, R: 91.23, RollIn = 0.0000, NZW = 581665
  201: F1: 92.37, P: 93.50, R: 91.27, RollIn = 0.0000, NZW = 581102
  202: F1: 92.36, P: 93.50, R: 91.25, RollIn = 0.0000, NZW = 580962
  203: F1: 92.36, P: 93.50, R: 91.25, RollIn = 0.0000, NZW = 581063
  204: F1: 92.36, P: 93.50, R: 91.25, RollIn = 0.0000, NZW = 580051
  205: F1: 92.34, P: 93.50, R: 91.22, RollIn = 0.0000, NZW = 580312
  206: F1: 92.36, P: 93.51, R: 91.23, RollIn = 0.0000, NZW = 579876
  207: F1: 92.35, P: 93.48, R: 91.25, RollIn = 0.0000, NZW = 579829
  208: F1: 92.34, P: 93.50, R: 91.22, RollIn = 0.0000, NZW = 579764
  209: F1: 92.33, P: 93.48, R: 91.22, RollIn = 0.0000, NZW = 579128
  210: F1: 92.36, P: 93.51, R: 91.23, RollIn = 0.0000, NZW = 579353
  211: F1: 92.37, P: 93.52, R: 91.25, RollIn = 0.0000, NZW = 578558
  212: F1: 92.38, P: 93.52, R: 91.27, RollIn = 0.0000, NZW = 578524
  213: F1: 92.39, P: 93.53, R: 91.28, RollIn = 0.0000, NZW = 578198
  214: F1: 92.39, P: 93.53, R: 91.28, RollIn = 0.0000, NZW = 577628
  215: F1: 92.37, P: 93.52, R: 91.25, RollIn = 0.0000, NZW = 577990
  216: F1: 92.43, P: 93.57, R: 91.32, RollIn = 0.0000, NZW = 576913
  217: F1: 92.43, P: 93.57, R: 91.32, RollIn = 0.0000, NZW = 577036
  218: F1: 92.43, P: 93.57, R: 91.32, RollIn = 0.0000, NZW = 576866
  219: F1: 92.43, P: 93.57, R: 91.32, RollIn = 0.0000, NZW = 576572
  220: F1: 92.43, P: 93.57, R: 91.32, RollIn = 0.0000, NZW = 576789
  221: F1: 92.40, P: 93.53, R: 91.30, RollIn = 0.0000, NZW = 575787
  222: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 576160
  223: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 575612
  224: F1: 92.42, P: 93.55, R: 91.32, RollIn = 0.0000, NZW = 575491
  225: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0000, NZW = 575497
  226: F1: 92.45, P: 93.59, R: 91.35, RollIn = 0.0000, NZW = 574647
  227: F1: 92.42, P: 93.55, R: 91.32, RollIn = 0.0000, NZW = 574762
  228: F1: 92.43, P: 93.55, R: 91.33, RollIn = 0.0000, NZW = 574101
  229: F1: 92.40, P: 93.53, R: 91.30, RollIn = 0.0000, NZW = 573930
  230: F1: 92.42, P: 93.54, R: 91.33, RollIn = 0.0000, NZW = 573881
  231: F1: 92.42, P: 93.54, R: 91.33, RollIn = 0.0000, NZW = 573180
  232: F1: 92.41, P: 93.54, R: 91.32, RollIn = 0.0000, NZW = 573474
  233: F1: 92.43, P: 93.55, R: 91.33, RollIn = 0.0000, NZW = 572803
  234: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0000, NZW = 572848
  235: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0000, NZW = 572674
  236: F1: 92.46, P: 93.60, R: 91.35, RollIn = 0.0000, NZW = 572367
  237: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 572648
  238: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0000, NZW = 572028
  239: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 572121
  240: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 571804
  241: F1: 92.45, P: 93.59, R: 91.35, RollIn = 0.0000, NZW = 571613
  242: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0000, NZW = 571813
  243: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 571051
  244: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 570994
  245: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 570620
  246: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 570518
  247: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0000, NZW = 570391
  248: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 569852
  249: F1: 92.47, P: 93.59, R: 91.38, RollIn = 0.0000, NZW = 570067
  250: F1: 92.44, P: 93.55, R: 91.35, RollIn = 0.0000, NZW = 569645
  251: F1: 92.41, P: 93.54, R: 91.32, RollIn = 0.0000, NZW = 569710
  252: F1: 92.41, P: 93.54, R: 91.32, RollIn = 0.0000, NZW = 569723
  253: F1: 92.41, P: 93.54, R: 91.32, RollIn = 0.0000, NZW = 569129
  254: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 569214
  255: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 568667
  256: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 568701
  257: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 568451
  258: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 567957
  259: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 567974
  260: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 567192
  261: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 567331
  262: F1: 92.47, P: 93.59, R: 91.38, RollIn = 0.0000, NZW = 567096
  263: F1: 92.45, P: 93.56, R: 91.37, RollIn = 0.0000, NZW = 566941
  264: F1: 92.45, P: 93.56, R: 91.37, RollIn = 0.0000, NZW = 567049
  265: F1: 92.45, P: 93.56, R: 91.37, RollIn = 0.0000, NZW = 566336
  266: F1: 92.44, P: 93.55, R: 91.35, RollIn = 0.0000, NZW = 566410
  267: F1: 92.44, P: 93.55, R: 91.35, RollIn = 0.0000, NZW = 565952
  268: F1: 92.42, P: 93.54, R: 91.33, RollIn = 0.0000, NZW = 565882
  269: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 565859
  270: F1: 92.42, P: 93.54, R: 91.33, RollIn = 0.0000, NZW = 565441
  271: F1: 92.44, P: 93.55, R: 91.35, RollIn = 0.0000, NZW = 565537
  272: F1: 92.46, P: 93.57, R: 91.37, RollIn = 0.0000, NZW = 564996
  273: F1: 92.47, P: 93.59, R: 91.38, RollIn = 0.0000, NZW = 564895
  274: F1: 92.46, P: 93.60, R: 91.35, RollIn = 0.0000, NZW = 564728
  275: F1: 92.46, P: 93.60, R: 91.35, RollIn = 0.0000, NZW = 564292
  276: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 564588
  277: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 563964
  278: F1: 92.45, P: 93.59, R: 91.35, RollIn = 0.0000, NZW = 564073
  279: F1: 92.47, P: 93.60, R: 91.37, RollIn = 0.0000, NZW = 563876
  280: F1: 92.45, P: 93.60, R: 91.33, RollIn = 0.0000, NZW = 563440
  281: F1: 92.45, P: 93.59, R: 91.35, RollIn = 0.0000, NZW = 563614
  282: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 562775
  283: F1: 92.45, P: 93.59, R: 91.33, RollIn = 0.0000, NZW = 562976
  284: F1: 92.42, P: 93.57, R: 91.30, RollIn = 0.0000, NZW = 562699
