[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  240: F1: 92.30, P: 93.31, R: 91.32, RollIn = 0.0000, NZW = 429660
  241: F1: 92.29, P: 93.32, R: 91.28, RollIn = 0.0000, NZW = 429108
  242: F1: 92.33, P: 93.36, R: 91.32, RollIn = 0.0000, NZW = 428904
  243: F1: 92.36, P: 93.39, R: 91.35, RollIn = 0.0000, NZW = 428910
  244: F1: 92.39, P: 93.46, R: 91.35, RollIn = 0.0000, NZW = 428657
  245: F1: 92.34, P: 93.38, R: 91.33, RollIn = 0.0000, NZW = 428000
  246: F1: 92.33, P: 93.37, R: 91.32, RollIn = 0.0000, NZW = 427559
  247: F1: 92.35, P: 93.36, R: 91.37, RollIn = 0.0000, NZW = 427651
  248: F1: 92.37, P: 93.36, R: 91.40, RollIn = 0.0000, NZW = 427465
  249: F1: 92.41, P: 93.41, R: 91.43, RollIn = 0.0000, NZW = 427290
  250: F1: 92.29, P: 93.32, R: 91.28, RollIn = 0.0000, NZW = 426614
  251: F1: 92.30, P: 93.31, R: 91.32, RollIn = 0.0000, NZW = 426158
  252: F1: 92.26, P: 93.30, R: 91.23, RollIn = 0.0000, NZW = 426021
  253: F1: 92.31, P: 93.37, R: 91.27, RollIn = 0.0000, NZW = 426021
  254: F1: 92.26, P: 93.32, R: 91.22, RollIn = 0.0000, NZW = 425975
  255: F1: 92.31, P: 93.39, R: 91.25, RollIn = 0.0000, NZW = 424773
  256: F1: 92.27, P: 93.31, R: 91.27, RollIn = 0.0000, NZW = 424500
  257: F1: 92.28, P: 93.31, R: 91.28, RollIn = 0.0000, NZW = 424365
  258: F1: 92.27, P: 93.31, R: 91.25, RollIn = 0.0000, NZW = 424402
  259: F1: 92.29, P: 93.32, R: 91.28, RollIn = 0.0000, NZW = 424594
  260: F1: 92.29, P: 93.32, R: 91.28, RollIn = 0.0000, NZW = 423598
  261: F1: 92.31, P: 93.34, R: 91.30, RollIn = 0.0000, NZW = 423496
  262: F1: 92.28, P: 93.31, R: 91.28, RollIn = 0.0000, NZW = 423701
  263: F1: 92.22, P: 93.26, R: 91.22, RollIn = 0.0000, NZW = 423856
  264: F1: 92.28, P: 93.32, R: 91.27, RollIn = 0.0000, NZW = 423772
  265: F1: 92.33, P: 93.39, R: 91.30, RollIn = 0.0000, NZW = 422891
  266: F1: 92.32, P: 93.39, R: 91.28, RollIn = 0.0000, NZW = 422788
  267: F1: 92.32, P: 93.42, R: 91.25, RollIn = 0.0000, NZW = 422667
  268: F1: 92.34, P: 93.44, R: 91.27, RollIn = 0.0000, NZW = 422670
  269: F1: 92.39, P: 93.46, R: 91.35, RollIn = 0.0000, NZW = 422484
  270: F1: 92.33, P: 93.37, R: 91.32, RollIn = 0.0000, NZW = 421690
  271: F1: 92.33, P: 93.36, R: 91.32, RollIn = 0.0000, NZW = 421469
  272: F1: 92.36, P: 93.39, R: 91.35, RollIn = 0.0000, NZW = 421624
  273: F1: 92.35, P: 93.38, R: 91.35, RollIn = 0.0000, NZW = 421760
  274: F1: 92.35, P: 93.36, R: 91.37, RollIn = 0.0000, NZW = 421523
  275: F1: 92.29, P: 93.31, R: 91.30, RollIn = 0.0000, NZW = 420860
  276: F1: 92.32, P: 93.34, R: 91.32, RollIn = 0.0000, NZW = 420800
  277: F1: 92.21, P: 93.22, R: 91.22, RollIn = 0.0000, NZW = 420840
  278: F1: 92.25, P: 93.30, R: 91.22, RollIn = 0.0000, NZW = 420945
  279: F1: 92.25, P: 93.29, R: 91.23, RollIn = 0.0000, NZW = 420471
  280: F1: 92.26, P: 93.27, R: 91.27, RollIn = 0.0000, NZW = 419794
  281: F1: 92.26, P: 93.27, R: 91.27, RollIn = 0.0000, NZW = 419806
  282: F1: 92.25, P: 93.29, R: 91.23, RollIn = 0.0000, NZW = 419915
  283: F1: 92.25, P: 93.27, R: 91.25, RollIn = 0.0000, NZW = 420088
  284: F1: 92.23, P: 93.26, R: 91.23, RollIn = 0.0000, NZW = 419747
  285: F1: 92.29, P: 93.28, R: 91.32, RollIn = 0.0000, NZW = 419278
  286: F1: 92.22, P: 93.19, R: 91.27, RollIn = 0.0000, NZW = 419292
  287: F1: 92.19, P: 93.19, R: 91.22, RollIn = 0.0000, NZW = 419254
  288: F1: 92.22, P: 93.24, R: 91.22, RollIn = 0.0000, NZW = 418764
  289: F1: 92.23, P: 93.24, R: 91.23, RollIn = 0.0000, NZW = 418074
  290: F1: 92.30, P: 93.30, R: 91.33, RollIn = 0.0000, NZW = 417978
  291: F1: 92.29, P: 93.29, R: 91.30, RollIn = 0.0000, NZW = 417889
  292: F1: 92.28, P: 93.29, R: 91.28, RollIn = 0.0000, NZW = 418116
  293: F1: 92.33, P: 93.36, R: 91.32, RollIn = 0.0000, NZW = 418151
  294: F1: 92.31, P: 93.33, R: 91.32, RollIn = 0.0000, NZW = 417548
  295: F1: 92.29, P: 93.31, R: 91.30, RollIn = 0.0000, NZW = 417280
  296: F1: 92.22, P: 93.26, R: 91.22, RollIn = 0.0000, NZW = 417273
  297: F1: 92.25, P: 93.26, R: 91.27, RollIn = 0.0000, NZW = 417306
  298: F1: 92.26, P: 93.27, R: 91.27, RollIn = 0.0000, NZW = 417436
