[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  193: F1: 92.76, P: 93.74, R: 91.80, RollIn = 0.0001, NZW = 504881
  194: F1: 92.83, P: 93.78, R: 91.91, RollIn = 0.0000, NZW = 504979
  195: F1: 92.82, P: 93.78, R: 91.87, RollIn = 0.0000, NZW = 504952
  196: F1: 92.81, P: 93.80, R: 91.84, RollIn = 0.0000, NZW = 504324
  197: F1: 92.82, P: 93.80, R: 91.87, RollIn = 0.0000, NZW = 503532
  198: F1: 92.76, P: 93.76, R: 91.79, RollIn = 0.0000, NZW = 503354
  199: F1: 92.75, P: 93.76, R: 91.77, RollIn = 0.0000, NZW = 503192
  200: F1: 92.80, P: 93.79, R: 91.82, RollIn = 0.0000, NZW = 503230
  201: F1: 92.82, P: 93.84, R: 91.82, RollIn = 0.0000, NZW = 502666
  202: F1: 92.80, P: 93.83, R: 91.80, RollIn = 0.0000, NZW = 502142
  203: F1: 92.79, P: 93.82, R: 91.79, RollIn = 0.0000, NZW = 502013
  204: F1: 92.79, P: 93.82, R: 91.79, RollIn = 0.0000, NZW = 501815
  205: F1: 92.80, P: 93.83, R: 91.80, RollIn = 0.0000, NZW = 501808
  206: F1: 92.78, P: 93.79, R: 91.79, RollIn = 0.0000, NZW = 500676
  207: F1: 92.85, P: 93.88, R: 91.84, RollIn = 0.0000, NZW = 500103
  208: F1: 92.74, P: 93.77, R: 91.74, RollIn = 0.0000, NZW = 500096
  209: F1: 92.72, P: 93.77, R: 91.69, RollIn = 0.0000, NZW = 500198
  210: F1: 92.74, P: 93.74, R: 91.75, RollIn = 0.0000, NZW = 500312
  211: F1: 92.72, P: 93.75, R: 91.70, RollIn = 0.0000, NZW = 498964
  212: F1: 92.76, P: 93.79, R: 91.75, RollIn = 0.0000, NZW = 498590
  213: F1: 92.83, P: 93.86, R: 91.82, RollIn = 0.0000, NZW = 498686
  214: F1: 92.71, P: 93.77, R: 91.67, RollIn = 0.0000, NZW = 498503
  215: F1: 92.75, P: 93.80, R: 91.72, RollIn = 0.0000, NZW = 498545
  216: F1: 92.76, P: 93.77, R: 91.77, RollIn = 0.0000, NZW = 497167
  217: F1: 92.77, P: 93.79, R: 91.77, RollIn = 0.0000, NZW = 496849
