[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  246: F1: 80.21, P: 90.86, R: 71.79, RollIn = 0.0000, NZW = 444297
  247: F1: 80.19, P: 90.80, R: 71.79, RollIn = 0.0000, NZW = 444309
  248: F1: 80.21, P: 90.83, R: 71.81, RollIn = 0.0000, NZW = 444325
  249: F1: 80.23, P: 90.85, R: 71.83, RollIn = 0.0000, NZW = 444437
  250: F1: 80.21, P: 90.81, R: 71.83, RollIn = 0.0000, NZW = 444205
  251: F1: 80.22, P: 90.81, R: 71.84, RollIn = 0.0000, NZW = 444165
  252: F1: 80.26, P: 90.85, R: 71.88, RollIn = 0.0000, NZW = 444196
  253: F1: 80.26, P: 90.84, R: 71.89, RollIn = 0.0000, NZW = 444269
  254: F1: 80.25, P: 90.80, R: 71.89, RollIn = 0.0000, NZW = 444323
  255: F1: 80.26, P: 90.84, R: 71.89, RollIn = 0.0000, NZW = 444109
  256: F1: 80.29, P: 90.86, R: 71.93, RollIn = 0.0000, NZW = 444083
  257: F1: 80.30, P: 90.88, R: 71.93, RollIn = 0.0000, NZW = 444106
  258: F1: 80.30, P: 90.86, R: 71.95, RollIn = 0.0000, NZW = 444078
  259: F1: 80.27, P: 90.82, R: 71.91, RollIn = 0.0000, NZW = 444119
  260: F1: 80.28, P: 90.82, R: 71.93, RollIn = 0.0000, NZW = 443841
  261: F1: 80.31, P: 90.83, R: 71.98, RollIn = 0.0000, NZW = 443828
  262: F1: 80.32, P: 90.85, R: 71.98, RollIn = 0.0000, NZW = 443872
  263: F1: 80.35, P: 90.87, R: 72.01, RollIn = 0.0000, NZW = 443920
  264: F1: 80.34, P: 90.85, R: 72.01, RollIn = 0.0000, NZW = 443943
  265: F1: 80.38, P: 90.91, R: 72.03, RollIn = 0.0000, NZW = 443664
  266: F1: 80.40, P: 90.91, R: 72.06, RollIn = 0.0000, NZW = 443653
  267: F1: 80.40, P: 90.91, R: 72.06, RollIn = 0.0000, NZW = 443716
