[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.005, bias = 0.5, batch = 5
  221: F1: 92.66, P: 93.61, R: 91.72, RollIn = 0.0000, NZW = 914733
  222: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0000, NZW = 914760
  223: F1: 92.66, P: 93.61, R: 91.72, RollIn = 0.0000, NZW = 914781
  224: F1: 92.61, P: 93.57, R: 91.67, RollIn = 0.0000, NZW = 914863
  225: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0000, NZW = 914927
  226: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0000, NZW = 914949
  227: F1: 92.66, P: 93.61, R: 91.74, RollIn = 0.0000, NZW = 914997
  228: F1: 92.66, P: 93.63, R: 91.72, RollIn = 0.0000, NZW = 915035
  229: F1: 92.67, P: 93.64, R: 91.72, RollIn = 0.0000, NZW = 915076
  230: F1: 92.69, P: 93.66, R: 91.74, RollIn = 0.0000, NZW = 915125
  231: F1: 92.68, P: 93.66, R: 91.72, RollIn = 0.0000, NZW = 915158
  232: F1: 92.65, P: 93.63, R: 91.70, RollIn = 0.0000, NZW = 915267
  233: F1: 92.71, P: 93.68, R: 91.75, RollIn = 0.0000, NZW = 915317
  234: F1: 92.68, P: 93.64, R: 91.74, RollIn = 0.0000, NZW = 915340
  235: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0000, NZW = 915421
  236: F1: 92.67, P: 93.64, R: 91.72, RollIn = 0.0000, NZW = 915451
  237: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0000, NZW = 915502
  238: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0000, NZW = 915575
  239: F1: 92.66, P: 93.64, R: 91.70, RollIn = 0.0000, NZW = 915607
  240: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 915737
  241: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0000, NZW = 915765
  242: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 915799
  243: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0000, NZW = 915863
  244: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0000, NZW = 915953
  245: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 916008
  246: F1: 92.71, P: 93.66, R: 91.77, RollIn = 0.0000, NZW = 916098
  247: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 916141
  248: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 916185
  249: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0000, NZW = 916264
  250: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 916391
  251: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 916438
  252: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0000, NZW = 916547
  253: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 916633
  254: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 916659
  255: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0000, NZW = 916720
  256: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 916734
  257: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 916800
  258: F1: 92.68, P: 93.60, R: 91.77, RollIn = 0.0000, NZW = 916873
  259: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0000, NZW = 916943
  260: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 916952
  261: F1: 92.70, P: 93.63, R: 91.79, RollIn = 0.0000, NZW = 916995
  262: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 917001
  263: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0000, NZW = 917029
  264: F1: 92.67, P: 93.58, R: 91.77, RollIn = 0.0000, NZW = 917084
  265: F1: 92.70, P: 93.63, R: 91.79, RollIn = 0.0000, NZW = 917095
  266: F1: 92.69, P: 93.61, R: 91.79, RollIn = 0.0000, NZW = 917155
  267: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 917204
  268: F1: 92.69, P: 93.61, R: 91.79, RollIn = 0.0000, NZW = 917268
  269: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0000, NZW = 917306
  270: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0000, NZW = 917339
