[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad-MiniBatch: learning rate = 0.005, l1 = 2.0E-6, bias = 0.5, batch = 5
  200: F1: 92.55, P: 93.67, R: 91.45, RollIn = 0.0000, NZW = 1651810
  201: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0000, NZW = 1651853
  202: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0000, NZW = 1651935
  203: F1: 92.54, P: 93.67, R: 91.43, RollIn = 0.0000, NZW = 1652004
  204: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1652122
  205: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1652253
  206: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1652361
  207: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1652475
  208: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1652559
  209: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1652663
  210: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1652845
  211: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1652920
  212: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1653015
  213: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1653078
  214: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1653205
  215: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1653340
  216: F1: 92.49, P: 93.62, R: 91.38, RollIn = 0.0000, NZW = 1653392
  217: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1653519
  218: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 1653621
  219: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 1653644
  220: F1: 92.45, P: 93.57, R: 91.35, RollIn = 0.0000, NZW = 1653772
  221: F1: 92.44, P: 93.57, R: 91.33, RollIn = 0.0000, NZW = 1653943
  222: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 1654065
  223: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1654130
  224: F1: 92.47, P: 93.60, R: 91.37, RollIn = 0.0000, NZW = 1654244
  225: F1: 92.48, P: 93.60, R: 91.38, RollIn = 0.0000, NZW = 1654365
  226: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 1654496
  227: F1: 92.46, P: 93.59, R: 91.37, RollIn = 0.0000, NZW = 1654589
  228: F1: 92.51, P: 93.64, R: 91.42, RollIn = 0.0000, NZW = 1654653
  229: F1: 92.51, P: 93.64, R: 91.42, RollIn = 0.0000, NZW = 1654787
  230: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1654867
  231: F1: 92.52, P: 93.62, R: 91.43, RollIn = 0.0000, NZW = 1654971
  232: F1: 92.50, P: 93.62, R: 91.40, RollIn = 0.0000, NZW = 1655075
  233: F1: 92.51, P: 93.62, R: 91.42, RollIn = 0.0000, NZW = 1655168
  234: F1: 92.52, P: 93.64, R: 91.43, RollIn = 0.0000, NZW = 1655270
  235: F1: 92.49, P: 93.61, R: 91.40, RollIn = 0.0000, NZW = 1655409
  236: F1: 92.52, P: 93.64, R: 91.43, RollIn = 0.0000, NZW = 1655457
  237: F1: 92.50, P: 93.64, R: 91.38, RollIn = 0.0000, NZW = 1655653
  238: F1: 92.54, P: 93.67, R: 91.43, RollIn = 0.0000, NZW = 1655754
  239: F1: 92.54, P: 93.69, R: 91.42, RollIn = 0.0000, NZW = 1655797
  240: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0000, NZW = 1655823
  241: F1: 92.53, P: 93.67, R: 91.42, RollIn = 0.0000, NZW = 1655914
  242: F1: 92.54, P: 93.67, R: 91.43, RollIn = 0.0000, NZW = 1655962
  243: F1: 92.53, P: 93.67, R: 91.42, RollIn = 0.0000, NZW = 1656100
  244: F1: 92.53, P: 93.66, R: 91.43, RollIn = 0.0000, NZW = 1656198
  245: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0000, NZW = 1656216
  246: F1: 92.56, P: 93.69, R: 91.45, RollIn = 0.0000, NZW = 1656339
  247: F1: 92.55, P: 93.69, R: 91.43, RollIn = 0.0000, NZW = 1656405
  248: F1: 92.53, P: 93.67, R: 91.42, RollIn = 0.0000, NZW = 1656521
  249: F1: 92.54, P: 93.67, R: 91.43, RollIn = 0.0000, NZW = 1656624
  250: F1: 92.53, P: 93.70, R: 91.38, RollIn = 0.0000, NZW = 1656723
  251: F1: 92.54, P: 93.70, R: 91.40, RollIn = 0.0000, NZW = 1656841
  252: F1: 92.55, P: 93.70, R: 91.42, RollIn = 0.0000, NZW = 1656925
  253: F1: 92.56, P: 93.72, R: 91.43, RollIn = 0.0000, NZW = 1656986
  254: F1: 92.56, P: 93.70, R: 91.43, RollIn = 0.0000, NZW = 1657086
  255: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0000, NZW = 1657171
  256: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0000, NZW = 1657230
  257: F1: 92.53, P: 93.69, R: 91.40, RollIn = 0.0000, NZW = 1657334
  258: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0000, NZW = 1657409
  259: F1: 92.50, P: 93.65, R: 91.38, RollIn = 0.0000, NZW = 1657481
  260: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0000, NZW = 1657586
  261: F1: 92.52, P: 93.67, R: 91.40, RollIn = 0.0000, NZW = 1657738
  262: F1: 92.53, P: 93.69, R: 91.40, RollIn = 0.0000, NZW = 1657803
  263: F1: 92.52, P: 93.67, R: 91.40, RollIn = 0.0000, NZW = 1657892
  264: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0000, NZW = 1657964
  265: F1: 92.52, P: 93.67, R: 91.40, RollIn = 0.0000, NZW = 1658035
  266: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0000, NZW = 1658140
  267: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0000, NZW = 1658172
  268: F1: 92.53, P: 93.69, R: 91.40, RollIn = 0.0000, NZW = 1658267
  269: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0000, NZW = 1658304
  270: F1: 92.51, P: 93.64, R: 91.40, RollIn = 0.0000, NZW = 1658325
  271: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0000, NZW = 1658360
  272: F1: 92.51, P: 93.67, R: 91.38, RollIn = 0.0000, NZW = 1658449
  273: F1: 92.51, P: 93.65, R: 91.40, RollIn = 0.0000, NZW = 1658557
  274: F1: 92.50, P: 93.65, R: 91.37, RollIn = 0.0000, NZW = 1658629
  275: F1: 92.49, P: 93.67, R: 91.35, RollIn = 0.0000, NZW = 1658749
  276: F1: 92.48, P: 93.63, R: 91.35, RollIn = 0.0000, NZW = 1658791
  277: F1: 92.48, P: 93.63, R: 91.35, RollIn = 0.0000, NZW = 1658848
  278: F1: 92.48, P: 93.62, R: 91.37, RollIn = 0.0000, NZW = 1658897
  279: F1: 92.49, P: 93.64, R: 91.37, RollIn = 0.0000, NZW = 1658910
