[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  194: F1: 92.83, P: 93.74, R: 91.94, RollIn = 0.0000, NZW = 492663
  195: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0000, NZW = 492465
  196: F1: 92.64, P: 93.56, R: 91.74, RollIn = 0.0000, NZW = 491542
  197: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0000, NZW = 490704
  198: F1: 92.73, P: 93.67, R: 91.82, RollIn = 0.0000, NZW = 490389
  199: F1: 92.73, P: 93.67, R: 91.82, RollIn = 0.0000, NZW = 490242
  200: F1: 92.83, P: 93.77, R: 91.91, RollIn = 0.0000, NZW = 490395
  201: F1: 92.80, P: 93.73, R: 91.89, RollIn = 0.0000, NZW = 489380
  202: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0000, NZW = 488655
  203: F1: 92.77, P: 93.76, R: 91.80, RollIn = 0.0000, NZW = 488419
  204: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0000, NZW = 488351
  205: F1: 92.80, P: 93.78, R: 91.84, RollIn = 0.0000, NZW = 488442
  206: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0000, NZW = 487617
  207: F1: 92.78, P: 93.72, R: 91.87, RollIn = 0.0000, NZW = 487287
  208: F1: 92.76, P: 93.68, R: 91.85, RollIn = 0.0000, NZW = 487283
  209: F1: 92.76, P: 93.68, R: 91.85, RollIn = 0.0000, NZW = 487034
  210: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0000, NZW = 486741
  211: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0000, NZW = 485460
  212: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0000, NZW = 484798
  213: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0000, NZW = 484758
  214: F1: 92.86, P: 93.76, R: 91.97, RollIn = 0.0000, NZW = 484833
  215: F1: 92.81, P: 93.73, R: 91.91, RollIn = 0.0000, NZW = 484959
  216: F1: 92.79, P: 93.72, R: 91.89, RollIn = 0.0000, NZW = 483822
  217: F1: 92.84, P: 93.77, R: 91.92, RollIn = 0.0000, NZW = 483611
  218: F1: 92.79, P: 93.73, R: 91.87, RollIn = 0.0000, NZW = 483868
  219: F1: 92.80, P: 93.75, R: 91.87, RollIn = 0.0000, NZW = 483942
  220: F1: 92.81, P: 93.75, R: 91.89, RollIn = 0.0000, NZW = 483929
  221: F1: 92.85, P: 93.77, R: 91.96, RollIn = 0.0000, NZW = 482663
  222: F1: 92.84, P: 93.75, R: 91.94, RollIn = 0.0000, NZW = 482582
  223: F1: 92.83, P: 93.74, R: 91.94, RollIn = 0.0000, NZW = 482423
  224: F1: 92.80, P: 93.69, R: 91.92, RollIn = 0.0000, NZW = 482440
  225: F1: 92.86, P: 93.79, R: 91.96, RollIn = 0.0000, NZW = 482043
  226: F1: 92.86, P: 93.82, R: 91.92, RollIn = 0.0000, NZW = 480746
  227: F1: 92.83, P: 93.77, R: 91.91, RollIn = 0.0000, NZW = 480521
  228: F1: 92.84, P: 93.78, R: 91.92, RollIn = 0.0000, NZW = 480498
  229: F1: 92.85, P: 93.82, R: 91.91, RollIn = 0.0000, NZW = 480829
  230: F1: 92.84, P: 93.80, R: 91.91, RollIn = 0.0000, NZW = 480384
  231: F1: 92.84, P: 93.83, R: 91.87, RollIn = 0.0000, NZW = 479350
  232: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0000, NZW = 479234
  233: F1: 92.75, P: 93.73, R: 91.79, RollIn = 0.0000, NZW = 479319
  234: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0000, NZW = 479694
  235: F1: 92.78, P: 93.70, R: 91.87, RollIn = 0.0000, NZW = 479279
  236: F1: 92.80, P: 93.73, R: 91.89, RollIn = 0.0000, NZW = 478401
  237: F1: 92.79, P: 93.70, R: 91.89, RollIn = 0.0000, NZW = 478274
  238: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0000, NZW = 478377
  239: F1: 92.79, P: 93.72, R: 91.89, RollIn = 0.0000, NZW = 478206
  240: F1: 92.82, P: 93.77, R: 91.89, RollIn = 0.0000, NZW = 477379
  241: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0000, NZW = 476630
  242: F1: 92.83, P: 93.78, R: 91.89, RollIn = 0.0000, NZW = 476429
  243: F1: 92.74, P: 93.68, R: 91.82, RollIn = 0.0000, NZW = 476595
  244: F1: 92.73, P: 93.67, R: 91.82, RollIn = 0.0000, NZW = 476381
  245: F1: 92.77, P: 93.70, R: 91.85, RollIn = 0.0000, NZW = 475665
  246: F1: 92.74, P: 93.67, R: 91.84, RollIn = 0.0000, NZW = 475162
  247: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0000, NZW = 475074
  248: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0000, NZW = 475128
  249: F1: 92.71, P: 93.62, R: 91.82, RollIn = 0.0000, NZW = 475134
  250: F1: 92.68, P: 93.60, R: 91.79, RollIn = 0.0000, NZW = 474213
  251: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0000, NZW = 473950
  252: F1: 92.73, P: 93.65, R: 91.82, RollIn = 0.0000, NZW = 474133
  253: F1: 92.73, P: 93.68, R: 91.80, RollIn = 0.0000, NZW = 473869
  254: F1: 92.68, P: 93.64, R: 91.74, RollIn = 0.0000, NZW = 473860
  255: F1: 92.65, P: 93.63, R: 91.70, RollIn = 0.0000, NZW = 472924
  256: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0000, NZW = 472548
  257: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0000, NZW = 472604
  258: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0000, NZW = 472825
  259: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0000, NZW = 472873
  260: F1: 92.73, P: 93.70, R: 91.79, RollIn = 0.0000, NZW = 471795
  261: F1: 92.72, P: 93.63, R: 91.82, RollIn = 0.0000, NZW = 472005
  262: F1: 92.68, P: 93.58, R: 91.79, RollIn = 0.0000, NZW = 471890
  263: F1: 92.70, P: 93.62, R: 91.80, RollIn = 0.0000, NZW = 471870
  264: F1: 92.69, P: 93.61, R: 91.79, RollIn = 0.0000, NZW = 471678
  265: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0000, NZW = 470606
  266: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0000, NZW = 470090
  267: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0000, NZW = 469992
  268: F1: 92.77, P: 93.68, R: 91.87, RollIn = 0.0000, NZW = 470234
  269: F1: 92.77, P: 93.71, R: 91.84, RollIn = 0.0000, NZW = 470215
  270: F1: 92.78, P: 93.72, R: 91.85, RollIn = 0.0000, NZW = 469242
  271: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0000, NZW = 469336
  272: F1: 92.75, P: 93.70, R: 91.82, RollIn = 0.0000, NZW = 469513
  273: F1: 92.73, P: 93.67, R: 91.82, RollIn = 0.0000, NZW = 469924
  274: F1: 92.69, P: 93.63, R: 91.77, RollIn = 0.0000, NZW = 469693
  275: F1: 92.71, P: 93.65, R: 91.79, RollIn = 0.0000, NZW = 468793
  276: F1: 92.65, P: 93.58, R: 91.74, RollIn = 0.0000, NZW = 468557
  277: F1: 92.67, P: 93.60, R: 91.75, RollIn = 0.0000, NZW = 468451
  278: F1: 92.67, P: 93.61, R: 91.75, RollIn = 0.0000, NZW = 468665
  279: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 468291
  280: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0000, NZW = 467801
  281: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 467405
  282: F1: 92.68, P: 93.63, R: 91.75, RollIn = 0.0000, NZW = 467209
  283: F1: 92.68, P: 93.64, R: 91.74, RollIn = 0.0000, NZW = 467002
  284: F1: 92.73, P: 93.71, R: 91.77, RollIn = 0.0000, NZW = 466140
  285: F1: 92.72, P: 93.68, R: 91.79, RollIn = 0.0000, NZW = 465533
  286: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 465541
  287: F1: 92.67, P: 93.64, R: 91.72, RollIn = 0.0000, NZW = 465390
  288: F1: 92.72, P: 93.66, R: 91.80, RollIn = 0.0000, NZW = 465644
  289: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 464975
  290: F1: 92.69, P: 93.64, R: 91.75, RollIn = 0.0000, NZW = 464609
  291: F1: 92.67, P: 93.63, R: 91.74, RollIn = 0.0000, NZW = 464287
  292: F1: 92.61, P: 93.59, R: 91.65, RollIn = 0.0000, NZW = 464376
  293: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0000, NZW = 464437
  294: F1: 92.65, P: 93.61, R: 91.70, RollIn = 0.0000, NZW = 463413
  295: F1: 92.62, P: 93.56, R: 91.70, RollIn = 0.0000, NZW = 463072
  296: F1: 92.64, P: 93.56, R: 91.74, RollIn = 0.0000, NZW = 463111
  297: F1: 92.64, P: 93.58, R: 91.72, RollIn = 0.0000, NZW = 462993
  298: F1: 92.66, P: 93.60, R: 91.74, RollIn = 0.0000, NZW = 463239
