[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building emorynlp 1.0.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ emorynlp ---
Loading clusters:.
Collecting lexicons:
- # of ambiguity classes: 4694969

AdaGrad: learning rate = 0.02, l1 = 1.0E-6, bias = 0.0, batch = 5
  129: F1: 92.71, P: 93.69, R: 91.75, RollIn = 0.0013, NZW = 505310
  130: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0013, NZW = 504973
  131: F1: 92.74, P: 93.77, R: 91.74, RollIn = 0.0012, NZW = 505040
  132: F1: 92.77, P: 93.71, R: 91.84, RollIn = 0.0011, NZW = 504937
  133: F1: 92.71, P: 93.71, R: 91.74, RollIn = 0.0011, NZW = 502853
  134: F1: 92.80, P: 93.83, R: 91.80, RollIn = 0.0010, NZW = 502972
  135: F1: 92.85, P: 93.86, R: 91.85, RollIn = 0.0010, NZW = 502827
  136: F1: 92.84, P: 93.83, R: 91.87, RollIn = 0.0009, NZW = 502552
  137: F1: 92.86, P: 93.85, R: 91.89, RollIn = 0.0009, NZW = 502230
  138: F1: 92.84, P: 93.84, R: 91.85, RollIn = 0.0008, NZW = 500484
  139: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0008, NZW = 500159
  140: F1: 92.76, P: 93.74, R: 91.79, RollIn = 0.0008, NZW = 499804
  141: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0007, NZW = 499684
  142: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0007, NZW = 499119
  143: F1: 92.81, P: 93.78, R: 91.85, RollIn = 0.0007, NZW = 498099
  144: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0006, NZW = 497673
  145: F1: 92.74, P: 93.73, R: 91.77, RollIn = 0.0006, NZW = 497879
  146: F1: 92.72, P: 93.71, R: 91.75, RollIn = 0.0006, NZW = 497494
  147: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0005, NZW = 496961
  148: F1: 92.72, P: 93.68, R: 91.79, RollIn = 0.0005, NZW = 496162
  149: F1: 92.71, P: 93.68, R: 91.77, RollIn = 0.0005, NZW = 496131
  150: F1: 92.70, P: 93.65, R: 91.77, RollIn = 0.0005, NZW = 495942
  151: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0004, NZW = 495907
  152: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0004, NZW = 494821
  153: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0004, NZW = 493982
  154: F1: 92.76, P: 93.71, R: 91.82, RollIn = 0.0004, NZW = 493910
  155: F1: 92.68, P: 93.61, R: 91.77, RollIn = 0.0004, NZW = 493390
  156: F1: 92.72, P: 93.66, R: 91.79, RollIn = 0.0003, NZW = 493154
  157: F1: 92.70, P: 93.69, R: 91.74, RollIn = 0.0003, NZW = 492034
  158: F1: 92.76, P: 93.70, R: 91.84, RollIn = 0.0003, NZW = 491241
  159: F1: 92.74, P: 93.71, R: 91.79, RollIn = 0.0003, NZW = 491350
  160: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0003, NZW = 491390
  161: F1: 92.78, P: 93.78, R: 91.80, RollIn = 0.0003, NZW = 491337
  162: F1: 92.71, P: 93.75, R: 91.69, RollIn = 0.0002, NZW = 490119
  163: F1: 92.69, P: 93.77, R: 91.64, RollIn = 0.0002, NZW = 489594
  164: F1: 92.68, P: 93.70, R: 91.67, RollIn = 0.0002, NZW = 489401
  165: F1: 92.70, P: 93.71, R: 91.72, RollIn = 0.0002, NZW = 489347
  166: F1: 92.77, P: 93.78, R: 91.79, RollIn = 0.0002, NZW = 489475
  167: F1: 92.72, P: 93.72, R: 91.74, RollIn = 0.0002, NZW = 488067
  168: F1: 92.68, P: 93.70, R: 91.69, RollIn = 0.0002, NZW = 487824
  169: F1: 92.68, P: 93.69, R: 91.69, RollIn = 0.0002, NZW = 487413
  170: F1: 92.68, P: 93.64, R: 91.74, RollIn = 0.0002, NZW = 487202
  171: F1: 92.76, P: 93.76, R: 91.79, RollIn = 0.0002, NZW = 487134
  172: F1: 92.82, P: 93.83, R: 91.84, RollIn = 0.0001, NZW = 485915
  173: F1: 92.70, P: 93.68, R: 91.74, RollIn = 0.0001, NZW = 485539
  174: F1: 92.75, P: 93.74, R: 91.77, RollIn = 0.0001, NZW = 485019
  175: F1: 92.71, P: 93.69, R: 91.75, RollIn = 0.0001, NZW = 485320
  176: F1: 92.72, P: 93.69, R: 91.77, RollIn = 0.0001, NZW = 485112
  177: F1: 92.81, P: 93.80, R: 91.84, RollIn = 0.0001, NZW = 483711
  178: F1: 92.70, P: 93.71, R: 91.72, RollIn = 0.0001, NZW = 483477
  179: F1: 92.79, P: 93.75, R: 91.85, RollIn = 0.0001, NZW = 483491
  180: F1: 92.79, P: 93.76, R: 91.84, RollIn = 0.0001, NZW = 483007
  181: F1: 92.72, P: 93.72, R: 91.74, RollIn = 0.0001, NZW = 482656
  182: F1: 92.78, P: 93.76, R: 91.82, RollIn = 0.0001, NZW = 481672
  183: F1: 92.76, P: 93.73, R: 91.80, RollIn = 0.0001, NZW = 481462
  184: F1: 92.75, P: 93.68, R: 91.84, RollIn = 0.0001, NZW = 481259
  185: F1: 92.76, P: 93.71, R: 91.82, RollIn = 0.0001, NZW = 481261
  186: F1: 92.78, P: 93.72, R: 91.87, RollIn = 0.0001, NZW = 480974
  187: F1: 92.80, P: 93.76, R: 91.85, RollIn = 0.0001, NZW = 480017
  188: F1: 92.77, P: 93.75, R: 91.82, RollIn = 0.0001, NZW = 479833
  189: F1: 92.77, P: 93.75, R: 91.82, RollIn = 0.0001, NZW = 479333
  190: F1: 92.77, P: 93.73, R: 91.84, RollIn = 0.0001, NZW = 478865
  191: F1: 92.80, P: 93.78, R: 91.84, RollIn = 0.0001, NZW = 478593
  192: F1: 92.82, P: 93.80, R: 91.85, RollIn = 0.0001, NZW = 477858
  193: F1: 92.78, P: 93.75, R: 91.84, RollIn = 0.0001, NZW = 477682
  194: F1: 92.77, P: 93.75, R: 91.82, RollIn = 0.0000, NZW = 477540
